query,title,url,author,points,comments,created,hn_url
"bluesky","Bluesky CEO Jay Graber is stepping down","https://bsky.social/about/blog/03-09-2026-a-new-chapter-for-bluesky","minimaxir",403,372,"2026-03-09T19:09:03Z","https://news.ycombinator.com/item?id=47313884"
"web scraping","How Web Scraping Is Revealing Lobbying and Corruption in Peru","https://blog.scrapinghub.com/2016/03/09/how-web-scraping-is-revealing-lobbying-and-corruption-in-peru/","bezzi",398,72,"2016-03-09T21:50:00Z","https://news.ycombinator.com/item?id=11255973"
"web scraping","Web Scraping 101 with Python","https://www.scrapingbee.com/blog/web-scraping-101-with-python/","daolf",392,131,"2021-02-10T15:17:58Z","https://news.ycombinator.com/item?id=26090243"
"bluesky","A new form of verification on Bluesky","https://bsky.social/about/blog/04-21-2025-verification","ink_13",384,296,"2025-04-21T16:16:51Z","https://news.ycombinator.com/item?id=43753651"
"bluesky","Building Bluesky comments for my blog","https://natalie.sh/posts/bluesky-comments/","g0xA52A2A",382,141,"2025-08-07T15:56:01Z","https://news.ycombinator.com/item?id=44826164"
"web scraping","Web Scraping in Python – The Complete Guide","https://proxiesapi.com/articles/web-scraping-in-python-the-complete-guide","anticlickwise",378,146,"2024-02-20T15:16:47Z","https://news.ycombinator.com/item?id=39442273"
"web scraping","Web scraping with GPT-4o: powerful but expensive","https://blancas.io/blog/ai-web-scraper/","edublancas",377,167,"2024-09-02T19:50:53Z","https://news.ycombinator.com/item?id=41428274"
"web scraping","Introduction to web scraping with Python","https://datawhatnow.com/introduction-web-scraping-python/","weenkus",373,60,"2017-10-24T06:17:37Z","https://news.ycombinator.com/item?id=15539621"
"AI startup","Builder.ai Collapses: $1.5B 'AI' Startup Exposed as 'Indians'?","https://www.ibtimes.co.uk/builderai-collapses-15bn-ai-startup-exposed-actually-indians-pretending-bots-1734784","healsdata",368,259,"2025-06-03T13:17:06Z","https://news.ycombinator.com/item?id=44169759"
"bluesky","Be wary of Bluesky","https://kevinak.se/blog/be-wary-of-bluesky","kevinak",366,262,"2026-02-20T23:35:33Z","https://news.ycombinator.com/item?id=47095597"
"web scraping","Web Scraping via JavaScript Runtime Heap Snapshots (2022)","https://www.adriancooney.ie/blog/web-scraping-via-javascript-heap-snapshots","djoldman",362,112,"2023-08-08T12:09:28Z","https://news.ycombinator.com/item?id=37047746"
"MCP server","MCP server for Ghidra","https://github.com/LaurieWired/GhidraMCP","tanelpoder",356,70,"2025-03-25T18:47:37Z","https://news.ycombinator.com/item?id=43474490"
"web scraping","Web scraping via JavaScript runtime heap snapshots","https://www.adriancooney.ie/blog/web-scraping-via-javascript-heap-snapshots","adriancooney",354,65,"2022-04-29T13:56:53Z","https://news.ycombinator.com/item?id=31205139"
"bluesky","Bluesky migrates to single-tenant SQLite","https://github.com/bluesky-social/atproto/pull/1705","HillRat",354,233,"2023-11-07T00:22:39Z","https://news.ycombinator.com/item?id=38171322"
"bluesky","Bluesky signups are now open to the public","https://bsky.social/about/blog/02-06-2024-join-bluesky","jakebsky",349,273,"2024-02-06T15:01:28Z","https://news.ycombinator.com/item?id=39274882"
"AI startup","YC criticized for backing AI startup that simply cloned another AI startup","https://techcrunch.com/2024/09/30/y-combinator-is-being-criticized-after-it-backed-an-ai-startup-that-admits-it-basically-cloned-another-ai-startup/","blinding-streak",333,259,"2024-10-01T12:27:55Z","https://news.ycombinator.com/item?id=41707495"
"bluesky","Bluesky's stackable approach to moderation","https://bsky.social/about/blog/03-12-2024-stackable-moderation","steveklabnik",324,192,"2024-03-12T19:43:18Z","https://news.ycombinator.com/item?id=39684027"
"bluesky","Bluesky has launched RSS feeds","https://openrss.org/blog/bluesky-has-launched-rss-feeds","kieto",324,189,"2024-01-16T00:05:40Z","https://news.ycombinator.com/item?id=39007756"
"web scraping","Ask HN: What are the best tools for web scraping in 2022?","","pablohoffman",313,151,"2022-08-10T09:46:10Z","https://news.ycombinator.com/item?id=32409632"
"bluesky","Bluesky is on the verge of overtaking Threads in all the ways that matter","https://mashable.com/article/bluesky-gaining-ground-on-competitor-meta-threads","gnabgib",301,336,"2024-11-24T22:23:14Z","https://news.ycombinator.com/item?id=42231148"
"bluesky","I added a Bluesky comment section to my blog","https://micahcantor.com/blog/bluesky-comment-section.html","hydroxideOH-",301,105,"2026-01-24T20:33:40Z","https://news.ycombinator.com/item?id=46747366"
"indie hacker","What are the most indispensable books for indie hackers?","https://www.indiehackers.com/post/what-are-the-most-indispensable-books-for-indie-hackers-e2ec3a13e9","ChanningAllen",301,61,"2019-10-02T19:41:48Z","https://news.ycombinator.com/item?id=21140052"
"web scraping","How we learnt to stop worrying and love web scraping","https://www.nature.com/articles/d41586-020-02558-0","danso",300,151,"2020-09-09T12:09:56Z","https://news.ycombinator.com/item?id=24420120"
"bluesky","I downloaded all 1.6M posts on Bluesky","https://worthdoingbadly.com/bsky/","serhack_",300,272,"2023-05-06T21:28:49Z","https://news.ycombinator.com/item?id=35845504"
"saas pricing","I analyzed 250 SaaS pricing pages","http://thenextweb.com/insider/2015/12/18/i-analyzed-250-saas-pricing-pages-heres-what-i-found/","jackgavigan",299,101,"2015-12-21T15:43:07Z","https://news.ycombinator.com/item?id=10771567"
"MCP server","Show HN: Ghidra MCP Server – 110 tools for AI-assisted reverse engineering","https://github.com/bethington/ghidra-mcp","xerzes",298,68,"2026-02-04T06:51:51Z","https://news.ycombinator.com/item?id=46882389"
"web scraping","Web scraping case fails under Supreme Court's Dastar doctrine","http://blog.internetcases.com/2018/11/19/web-scraping-case-fails-under-dastar/","neoflexycurrent",292,108,"2018-11-19T19:25:08Z","https://news.ycombinator.com/item?id=18488939"
"web scraping","The State of Web Scraping 2022","https://scrapeops.io/blog/the-state-of-web-scraping-2022/","Ian_Kerins",291,144,"2022-01-12T13:03:17Z","https://news.ycombinator.com/item?id=29905799"
"web scraping","Facebook was used as a proxy by web scraping bots","https://datadome.co/bot-detection/how-facebook-was-used-as-a-proxy-by-web-scraping-bots/","avastel",285,119,"2020-11-05T18:15:42Z","https://news.ycombinator.com/item?id=25000514"
"freelance developer","How to be a freelance web developer, part 2","http://ryanwaggoner.com/2010/10/how-to-be-a-freelance-web-developer-part-2/","ryanwaggoner",284,73,"2010-10-07T12:49:15Z","https://news.ycombinator.com/item?id=1767620"
"web scraping","Show HN: Crawlee – Web scraping and browser automation library for Node.js","https://crawlee.dev/","jancurn",282,80,"2022-08-23T06:25:39Z","https://news.ycombinator.com/item?id=32561127"
"AI startup","Jim Keller moves to AI chip startup","https://www.reuters.com/article/tenstorrent-tech/moves-former-intel-tesla-chip-exec-jim-keller-joins-artificial-intelligence-startup-idUSL1N2JG2I6","vnorilo",281,89,"2021-01-06T07:30:06Z","https://news.ycombinator.com/item?id=25655423"
"web scraping","The State of Web Scraping in 2021","https://mihaisplace.blog/2021/10/03/the-state-of-web-scraping-in-2021/","marvram",281,125,"2021-10-11T12:21:23Z","https://news.ycombinator.com/item?id=28827509"
"bluesky","User ban controversy reveals Bluesky’s decentralized aspiration isn’t reality","https://plus.flux.community/p/banning-controversy-reveals-blueskys","gregsadetsky",280,381,"2025-10-07T19:44:00Z","https://news.ycombinator.com/item?id=45507880"
"web scraping","I Don’t Need No Stinking API: Web Scraping For Fun and Profit","http://blog.hartleybrody.com/web-scraping/","hartleybrody",279,172,"2012-12-09T05:02:51Z","https://news.ycombinator.com/item?id=4893864"
"automation tool","Hammerspoon – Lua-based powerful tool automation of macOS","https://www.hammerspoon.org/","gurjeet",272,80,"2021-12-12T20:52:40Z","https://news.ycombinator.com/item?id=29533495"
"web scraping","Ask HN: Best practices for ethical web scraping?","","aspyct",270,107,"2020-04-04T13:27:21Z","https://news.ycombinator.com/item?id=22778089"
"bluesky","Trying to use Bluesky without getting burned again","https://chrisholdgraf.com/blog/2024/bluesky","ianrahman",269,538,"2024-12-29T12:13:02Z","https://news.ycombinator.com/item?id=42539462"
"bluesky","We need to protect the protocol that runs Bluesky","https://www.technologyreview.com/2025/01/17/1110063/we-need-to-protect-the-protocol-that-runs-bluesky/","srameshc",262,306,"2025-01-19T00:53:38Z","https://news.ycombinator.com/item?id=42752703"
"market research","Facebook will shut down its controversial market research app for iOS","https://www.theverge.com/facebook/2019/1/30/18203349/facebook-research-app-apple-shutdown","flylib",261,218,"2019-01-30T08:00:16Z","https://news.ycombinator.com/item?id=19033451"
"bluesky","Visualizing 13M Bluesky users","https://joelgustafson.com/posts/2024-11-12/vizualizing-13-million-bluesky-users","joelg",261,237,"2024-11-12T18:25:23Z","https://news.ycombinator.com/item?id=42118180"
"web scraping","Ferret – Declarative web scraping","https://github.com/MontFerret/ferret","ziflex",260,92,"2018-10-02T15:59:34Z","https://news.ycombinator.com/item?id=18122847"
"MCP server","Show HN: MCP server for searching and downloading documents from Anna's Archive","https://github.com/iosifache/annas-mcp","iosifache",256,79,"2025-07-09T21:06:38Z","https://news.ycombinator.com/item?id=44514753"
"freelance developer","How to become a freelance web developer","http://ryanwaggoner.com/2010/10/how-to-become-a-freelance-web-developer/","ryanwaggoner",256,63,"2010-10-06T12:39:53Z","https://news.ycombinator.com/item?id=1763634"
"web scraping","Show HN: Crawlee for Python – a web scraping and browser automation library","https://crawlee.dev/python/","jancurn",254,57,"2024-07-09T08:30:38Z","https://news.ycombinator.com/item?id=40913736"
"AI startup","HN Slop: AI startup ideas generated from Hacker News","https://www.josh.ing/hn-slop","coloneltcb",249,98,"2025-07-01T15:31:45Z","https://news.ycombinator.com/item?id=44434938"
"bluesky","How Does Bluesky Work?","https://steveklabnik.com/writing/how-does-bluesky-work","steveklabnik",248,91,"2024-02-24T21:38:04Z","https://news.ycombinator.com/item?id=39495355"
"bluesky","Bluesky Goes Dark in Mississippi over Age Verification Law","https://www.wired.com/story/bluesky-goes-dark-in-mississippi-age-verification/","BallsInIt",247,172,"2025-08-22T22:51:27Z","https://news.ycombinator.com/item?id=44990886"
"AI startup","73% of AI startups are just prompt engineering","https://pub.towardsai.net/i-reverse-engineered-200-ai-startups-73-are-lying-a8610acab0d3","kllrnohj",246,205,"2025-11-23T16:17:57Z","https://news.ycombinator.com/item?id=46024644"
